"","tweet","sentiment"
"1","sanju samsons fans made statement cricketer overlooked indias playing xi","positive"
"2","favourite footballer de bruyne","neutral"
"3","iran coordinating secret efforts qatar control attends world cup restrict signs","negative"
"4","ytn radio fm topic rediscovery jungkook amp world cup performance amp ost kim johan qatar world cup feve","neutral"
"5","seen qatar lightup message gaza hearts appears building fifa world cup h","neutral"
"6","side needs qualify permutations explained","positive"
"7","qatar fifa world cup kits available fans version customization player versions retro kit","positive"
"8","mr mayor awesome youre qatar promoting awesome city will new maps stadium ready","positive"
"9","good project im enthusiastic excellent project lets take t","positive"
"10","seems admitted bribery claimed personally ac","negative"
"11","world cup given us platform make voice heard palestinians wave flag high qatar world cup h","neutral"
"12","know london qatar world cup","neutral"
"13","people world qatar see us dressed like come us ask","positive"
"14","beloved palestine beautiful countries morocco world cup fans sing solidarity palestin","positive"
"15","qatar concludes criminal process mexican world cup worker sexual misconduct tod","negative"
"16","music fifa","neutral"
"17","world cup recap day morocco beats belgium germany still qatar world cup","neutral"
"18","jung kook dreamers fifa opening ceremony views m stream now","negative"
"19","world cup recap day morocco beats belgium germany still qatar world cup","neutral"
"20","welcome roadqatar airdrop campaign lets accompany roadqatar real road qatar world cup","positive"
"21","bro canada went world cup just perform well country bribed way stats dont lie","neutral"
"22","welcome list qatar canada rt team scored mens fifa world cup","positive"
"23","confirmed karim benzema left qatar france call replacement still part man squa","neutral"
"24","bts jungkooks unseen footage fifa opening ceremony released good watch video","positive"
"25","antifa bunch pathetic losers cant even board plane go world cup qatar real oppre","negative"
"26","check metamirror world cup nft created celebrate reward pool nft holders","positive"
"27","photo taken november shows exterior view lusail stadium main stadium fifa","neutral"
"28","iranians qatar arrested wearing shirts woman life freedom theyre arrested wa","positive"
"29","riots brussels moroccan fans continue well evening morocco defeated belgium qatar world","positive"
"30","disastrous xenophobic fans now attacking arab journalists accusing","negative"
"31","secretary state anthony blinken flies ilhan omar world cup private jet","neutral"
"32","moroccan fans raise free palestine flag morocco vs belgium world cup match qatar","positive"
"33","lets talk elephant room arab football fans boycott israelis world cup happily us","positive"
"34","coming soon weve proud announce fifa event predict amp vote s","positive"
"35","polish player robert lewandowski proclaiming catholic faith scored goal saudi arabia today fifa","positive"
"36","chinas state broadcaster cutting closeup shots maskless fans qatar world cup early coverage sparke","positive"
"37","will new halloween costume next season max hold sign said survived","neutral"
"38","group e going wire fifa spain lead group need point qualif","positive"
"39","moroccos atlas lions defeated belgium fifa world cup qatar moroccan club wydad casablanca won t","positive"
"40","usas problem iran isnt politics dont know win usa guardian","neutral"
"41","riot brussels moroccos shock victory belgium fifa world cupin qatar","neutral"
"42","great projecti interested will support project success","positive"
"43","chant moroccan fans world cup solidarity palestine song titled rajawi palestine c","positive"
